name,id,year,category,description
Gough and Inaccessible Islands,740,1995,Natural,"The site, located in the south Atlantic, is one of the least-disrupted island and marine ecosystems in the cool temperate zone. The spectacular cliffs of Gough and Inaccessible Islands, towering above the ocean, are free of introduced mammals and home to one of the world’s largest colonies of sea birds. Gough Island is home to two endemic species of land birds, the gallinule and the Gough rowettie, as well as to 12 endemic species of plants, while Inaccessible Island boasts two birds, eight plants and at least 10 invertebrates endemic to the island."
Maritime Greenwich,795,1997,Cultural,"The ensemble of buildings at Greenwich, an outlying district of London, and the park in which they are set, symbolize English artistic and scientific endeavour in the 17th and 18th centuries. The Queen's House (by Inigo Jones) was the first Palladian building in England, while the complex that was until recently the Royal Naval College was designed by Christopher Wren. The park, laid out on the basis of an original design by André Le Nôtre, contains the Old Royal Observatory, the work of Wren and the scientist Robert Hooke."
"Historic Town of St George and Related Fortifications, Bermuda",983,2000,Cultural,"The Town of St George, founded in 1612, is an outstanding example of the earliest English urban settlement in the New World. Its associated fortifications graphically illustrate the development of English military engineering from the 17th to the 20th century, being adapted to take account of the development of artillery over this period."
Blaenavon Industrial Landscape,984,2000,Cultural,"The area around Blaenavon is evidence of the pre-eminence of South Wales as the world's major producer of iron and coal in the 19th century. All the necessary elements can still be seen - coal and ore mines, quarries, a primitive railway system, furnaces, workers' homes, and the social infrastructure of their community."
Saltaire,1028,2001,Cultural,"Saltaire, West Yorkshire, is a complete and well-preserved industrial village of the second half of the 19th century. Its textile mills, public buildings and workers' housing are built in a harmonious style of high architectural standards and the urban plan survives intact, giving a vivid impression of Victorian philanthropic paternalism."
Dorset and East Devon Coast,1029,2001,Natural,"The cliff exposures along the Dorset and East Devon coast provide an almost continuous sequence of rock formations spanning the Mesozoic Era, or some 185 million years of the earth's history. The area's important fossil sites and classic coastal geomorphologic features have contributed to the study of earth sciences for over 300 years."
Derwent Valley Mills,1030,2001,Cultural,"The Derwent Valley in central England contains a series of 18th- and 19th- century cotton mills and an industrial landscape of high historical and technological interest. The modern factory owes its origins to the mills at Cromford, where Richard Arkwright's inventions were first put into industrial-scale production. The workers' housing associated with this and the other mills remains intact and illustrate the socio-economic development of the area."
"Royal Botanic Gardens, Kew",1084,2003,Cultural,"This historic landscape garden features elements that illustrate significant periods of the art of gardens from the 18th to the 20th centuries. The gardens house botanic collections (conserved plants, living plants and documents) that have been considerably enriched through the centuries. Since their creation in 1759, the gardens have made a significant and uninterrupted contribution to the study of plant diversity and economic botany."
Cornwall and West Devon Mining Landscape,1215,2006,Cultural,"Much of the landscape of Cornwall and West Devon was transformed in the 18th and early 19th centuries as a result of the rapid growth of pioneering copper and tin mining. Its deep underground mines, engine houses, foundries, new towns, smallholdings, ports and harbours, and their ancillary industries together reflect prolific innovation which, in the early 19th century, enabled the region to produce two-thirds of the world’s supply of copper. The substantial remains are a testimony to the contribution Cornwall and West Devon made to the Industrial Revolution in the rest of Britain and to the fundamental influence the area had on the mining world at large. Cornish technology embodied in engines, engine houses and mining equipment was exported around the world. Cornwall and West Devon were the heartland from which mining technology rapidly spread."
Pontcysyllte Aqueduct and Canal,1303,2009,Cultural,"Situated in north-eastern Wales, the 18 kilometre long Pontcysyllte Aqueduct and Canal is a feat of civil engineering of the Industrial Revolution, completed in the early years of the 19th century. Covering a difficult geographical setting, the building of the canal required substantial, bold civil engineering solutions, especially as it was built without using locks. The aqueduct is a pioneering masterpiece of engineering and monumental metal architecture, conceived by the celebrated civil engineer Thomas Telford. The use of both cast and wrought iron in the aqueduct enabled the construction of arches that were light and d strong, producing an overall effect that is both monumental and elegant. The property is inscribed as a masterpiece of creative genius, and as a remarkable synthesis of expertise already acquired in Europe. It is also recognized as an innovative ensemble that inspired many projects all over the world."
"Stonehenge, Avebury and Associated Sites",373,1986,Cultural,"Stonehenge and Avebury, in Wiltshire, are among the most famous groups of megaliths in the world. The two sanctuaries consist of circles of menhirs arranged in a pattern whose astronomical significance is still being explored. These holy places and the nearby Neolithic sites are an incomparable testimony to prehistoric times."
Durham Castle and Cathedral,370,1986,Cultural,"Durham Cathedral was built in the late 11th and early 12th centuries to house the relics of St Cuthbert (evangelizer of Northumbria) and the Venerable Bede. It attests to the importance of the early Benedictine monastic community and is the largest and finest example of Norman architecture in England. The innovative audacity of its vaulting foreshadowed Gothic architecture. Behind the cathedral stands the castle, an ancient Norman fortress which was the residence of the prince-bishops of Durham."
Palace of Westminster and Westminster Abbey including Saint Margaret’s Church,426,1987,Cultural,"Westminster Palace, rebuilt from the year 1840 on the site of important medieval remains, is a fine example of neo-Gothic architecture. The site – which also comprises the small medieval Church of Saint Margaret, built in Perpendicular Gothic style, and Westminster Abbey, where all the sovereigns since the 11th century have been crowned – is of great historic and symbolic significance."
Studley Royal Park including the Ruins of Fountains Abbey,372,1986,Cultural,"In the 18th century a designed landscape of exceptional beauty was created around the ruins of the Cistercian Fountains Abbey, in Yorkshire. The spectacular ruins of the 12th century abbey and water mill, the Jacobean mansion of Fountains Hall, the Victorian masterpiece St Mary’s Church and one of the most magnificent Georgian water gardens ever created, make this a landscape of outstanding merit."
The Forth Bridge,1485,2015,Cultural,"This railway bridge, crossing the Forth estuary in Scotland, had the world’s longest spans (541 m) when it opened in 1890. It remains one of the greatest cantilever trussed bridges and continues to carry passengers and freight. Its distinctive industrial aesthetic is the result of a forthright and unadorned display of its structural components. Innovative in style, materials and scale, the Forth Bridge marks an important milestone in bridge design and construction during the period when railways came to dominate long-distance land travel."
Gorham's Cave Complex,1500,2016,Cultural,"The steep limestone cliffs on the eastern side of the Rock of Gibraltar contain four caves with archaeological and paleontological deposits that provide evidence of Neanderthal occupation over a span of more than 100,000 years. This exceptional testimony to the cultural traditions of the Neanderthals is seen notably in evidence of the hunting of birds and marine animals for food, the use of feathers for ornamentation and the presence of abstract rock engravings. Scientific research on these sites has already contributed substantially to debates about Neanderthal and human evolution."
Heart of Neolithic Orkney,514,1999,Cultural,"The group of Neolithic monuments on Orkney consists of a large chambered tomb (Maes Howe), two ceremonial stone circles (the Stones of Stenness and the Ring of Brodgar) and a settlement (Skara Brae), together with a number of unexcavated burial, ceremonial and settlement sites. The group constitutes a major prehistoric cultural landscape which gives a graphic depiction of life in this remote archipelago in the far north of Scotland some 5,000 years ago."
The English Lake District,422,2017,Cultural,"Located in northwest England, the English Lake District is a mountainous area, whose valleys have been modelled by glaciers in the Ice Age and subsequently shaped by an agro-pastoral land-use system characterized by fields enclosed by walls. The combined work of nature and human activity has produced a harmonious landscape in which the mountains are mirrored in the lakes. Grand houses, gardens and parks have been purposely created to enhance the landscape’s beauty. This landscape was greatly appreciated from the 18th century onwards by the Picturesque and later Romantic movements, which celebrated it in paintings, drawings and words. It also inspired an awareness of the importance of beautiful landscapes and triggered early efforts to preserve them."
Giant's Causeway and Causeway Coast,369,1986,Natural,"The Giant's Causeway lies at the foot of the basalt cliffs along the sea coast on the edge of the Antrim plateau in Northern Ireland. It is made up of some 40,000 massive black basalt columns sticking out of the sea. The dramatic sight has inspired legends of giants striding over the sea to Scotland. Geological studies of these formations over the last 300 years have greatly contributed to the development of the earth sciences, and show that this striking landscape was caused by volcanic activity during the Tertiary, some 50–60 million years ago."
St Kilda,387,1986,Mixed,"This volcanic archipelago, with its spectacular landscapes, is situated off the coast of the Hebrides and comprises the islands of Hirta, Dun, Soay and Boreray. It has some of the highest cliffs in Europe, which have large colonies of rare and endangered species of birds, especially puffins and gannets. The archipelago, uninhabited since 1930, bears the evidence of more than 2,000 years of human occupation in the extreme conditions prevalent in the Hebrides. Human vestiges include built structures and field systems, the cleits and the traditional Highland stone houses. They feature the vulnerable remains of a subsistence economy based on the products of birds, agriculture and sheep farming."
Jodrell Bank Observatory,1594,2019,Cultural,"Located in a rural area of northwest England, free from radio interference, Jodrell Bank is one of the world's leading radio astronomy observatories. At the beginning of its use, in 1945, the property housed research on cosmic rays detected by radar echoes. This observatory, which is still in operation, includes several radio telescopes and working buildings, including engineering sheds and the Control Building. Jodrell Bank has had substantial scientific impact in fields such as the study of meteors and the moon, the discovery of quasars, quantum optics, and the tracking of spacecraft. This exceptional technological ensemble illustrates the transition from traditional optical astronomy to radio astronomy (1940s to 1960s), which led to radical changes in the understanding of the universe."
The Slate Landscape of Northwest Wales,1633,2021,Cultural,"The Slate Landscape of Northwest Wales illustrates the transformation that industrial slate quarrying and mining brought about in the traditional rural environment of the mountains and valleys of the Snowdon massif. The territory, extending from mountain-top to sea-coast, presented opportunities and constraints that were used and challenged by the large-scale industrial processes undertaken by landowners and capital investors, which reshaped the agricultural landscape into an industrial centre for slate production during the Industrial Revolution (1780-1914). The serial property comprises six components each encompassing relict quarries and mines, archaeological sites related to slate industrial processing, historical settlements, both living and relict, historic gardens and grand country houses, ports, harbours and quays, and railway and road systems illustrating the functional and social linkages of the relict slate industrial landscape. The property was internationally significant not only for the export of slates, but also for the export of technology and skilled workers from the 1780s to the early 20th century. It played a leading role in the field and constituted a model for other slate quarries in different parts of the world. It offers an important and remarkable example of interchange of materials, technology and human values."
The Flow Country,1722,2024,Natural,"The serial property, located in the Highland Region of Scotland, is considered the most outstanding example of an actively accumulating blanket bog landscape. This peatland ecosystem, which has been accumulating for the past 9,000 years, provides a diversity of habitats home to a distinct combination of bird species and displays a remarkable diversity of features not found anywhere else on Earth. Peatlands play an important role in storing carbon and the property’s ongoing peat-forming ecological processes continue to sequester carbon on a very large scale, representing a significant research and educational resource."
